index,senate_budget_medicaid_id,senate_budget_hospital,safety_county,gannett,safety_hosptial_type,hospital_address_full_fha,safety_ownership,safety_total_ownership,gov_worksheet_base_add_on_in_patient,gov_worksheet_base_add_on_out_patient,senate_budget_in_patient_add_on,senate_budget_outpatient_add_on,senate_in_patient_cuts,senate_out_patient_cuts,senate_savings,senate_cut_percentage,safety_total_XIX_utilization_per_hospital_percent_2015,house_tier,house_add_on_percentage_keep,house_new_in_patient_add_on,house_new_out_patient_add_on,house_in_patient_cuts,house_out_patient_cuts,house_add_on_savings,gov_charitable_purpose_percent,gov_savings,lat,lng
119,119717,CAPE CORAL HOSPITAL,Lee,Yes,Public/Government,"636 Del Prado Blvd. Cape Coral, FL 33990-2695",Lee Memorial Health System,Lee Memorial Health System, -   , -   , -   , -   , -   , -   , -   , -   , 11 , 4 , -   , -   , -   , -   , -   , -   , 46 , -   ,26.6394379,-81.943245
120,109886,OCALA REGIONAL MEDICAL CENTER,Marion,No,Investor-Owned,"1431 S.W. 1st Ave. Ocala, FL 34471-6500",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 11 , 4 , -   , -   , -   , -   , -   , -   , 63 , -   ,29.1755041,-82.1368523
122,119881,REGIONAL MEDICAL CENTER AT BAYONET POINT,Pasco,No,Investor-Owned,"14000 Fivay Rd. Hudson, FL 34667-7103",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 11 , 4 , -   , -   , -   , -   , -   , -   , 103 , -   ,28.3612503,-82.6881834
124,102199,CITRUS MEMORIAL HEALTH SYSTEM,Citrus,No,Investor-Owned,"502 W. Highland Blvd. Inverness, FL 34452-4720",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 11 , 4 , -   , -   , -   , -   , -   , -   ," (103,863)", -   ,28.8334017,-82.3359666
126,112798,MEMORIAL HOSPITAL OF TAMPA,Hillsborough,No,Investor-Owned,"2901 Swann Ave. Tampa, FL 33609-4056",IASIS Healthcare,null, -   , -   , -   , -   , -   , -   , -   , -   , 10 , 4 , -   , -   , -   , -   , -   , -   , 227 , -   ,27.9380455,-82.4898248
127,101826,FLORIDA HOSPITAL FISH MEMORIAL,Volusia,No,Not-For-Profit,"1055 Saxon Blvd. Orange City, FL 32763-8468",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 10 , 4 , -   , -   , -   , -   , -   , -   , 84 , -   ,28.914028,-81.284804
128,101079,LEESBURG REGIONAL MEDICAL CENTER,Lake,No,Not-For-Profit,"600 E. Dixie Ave. Leesburg, FL 34748-5925",Central Florida Health Alliance,Central Florida Health Alliance, -   , -   , -   , -   , -   , -   , -   , -   , 10 , 4 , -   , -   , -   , -   , -   , -   , 22 , -   ,28.8080948,-81.8683185
129,101184,MARTIN MEMORIAL HOSPITAL,Martin,Yes,Not-For-Profit,"200 S.E. Hospital Ave. Stuart, FL 34994-2346",Martin Health System,Martin Health System, -   , -   , -   , -   , -   , -   , -   , -   , 10 , 4 , -   , -   , -   , -   , -   , -   , 68 , -   ,27.1989708,-80.2435471
130,101265,NORTH OKALOOSA MEDICAL CENTER,Okaloosa,No,Investor-Owned,"151 E. Redstone Ave. Crestview, FL 32539-5352",Community Health Systems,Community Health Systems, -   , -   , -   , -   , -   , -   , -   , -   , 10 , 4 , -   , -   , -   , -   , -   , -   , 22 , -   ,30.7356276,-86.5621695
132,110213,BLAKE MEDICAL CENTER,Manatee,No,Investor-Owned,"2020 59th St., W. Bradenton, FL 34209-4604",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 10 , 4 , -   , -   , -   , -   , -   , -   , 77 , -   ,27.4822425,-82.6233649
133,112305,WESTSIDE REGIONAL MEDICAL CENTE,Broward,No,Investor-Owned,"8201 W. Broward Blvd. Plantation, FL 33324-2701",HCA East Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 10 , 4 , -   , -   , -   , -   , -   , -   , 34 , -   ,26.123543,-80.259512
137,103209,WUESTHOFF MEDICAL CENTER - MELBOURNE,Brevard,Yes,Investor-Owned,"250 N. Wickham Rd. Melbourne, FL 32935-8625",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 9 , 4 , -   , -   , -   , -   , -   , -   , (479), -   ,28.1092215,-80.674222
139,109592,PASCO REGIONAL MEDICAL CENTER,Pasco,No,Investor-Owned,"13100 Fort King Rd. Dade City, FL 33525-5294",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 9 , 4 , -   , -   , -   , -   , -   , -   , 181 , -   ,28.348055,-82.199629
140,103721,BAYCARE ALLIANT,Pinellas,No,Not-For-Profit,"601 Main St. Dunedin, FL 34698-5848",BayCare Health System,BayCare, -   , -   , -   , -   , -   , -   , -   , -   , 8 , 4 , -   , -   , -   , -   , -   , -   , 16 , -   ,28.0136642,-82.7827283
141,103462,ST CLOUD REGIONAL MEDICAL CENTER,Osceola,No,Investor-Owned,"2906 17th St. St. Cloud, FL 34769-6006",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 9 , 4 , -   , -   , -   , -   , -   , -   , 48 , -   ,28.243114,-81.302787
145,119989,SEVEN RIVERS COMMUNITY HOSPITAL,Citrus,No,Investor-Owned,"6201 N. Suncoast Blvd. Crystal River, FL 34428-6712",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 8 , 4 , -   , -   , -   , -   , -   , -   , 26 , -   ,28.9518354,-82.6244791
146,102105,PALM BEACH GARDENS MEDICAL CENTER,Palm Beach,No,Investor-Owned,"3360 Burns Rd. Palm Beach Gardens, FL 33410-4323",Tenet HealthSystem,Tenet HealthSystem, -   , -   , -   , -   , -   , -   , -   , -   , 8 , 4 , -   , -   , -   , -   , -   , -   , 103 , -   ,26.8294766,-80.0866442
147,119768,LAKE CITY MEDICAL CENTER,Columbia,No,Investor-Owned,"340 N.W. Commerce Dr. Lake City, FL 32055-4709",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 8 , 4 , -   , -   , -   , -   , -   , -   , 74 , -   ,30.1839828,-82.6863444
149,100188,HOLY CROSS HOSPITAL,Broward,No,Not-For-Profit,"4725 N. Federal Hwy. Ft. Lauderdale, FL 33308-4603",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 8 , 4 , -   , -   , -   , -   , -   , -   , 456 , -   ,26.1871437,-80.1199314
152,100277,CHARLOTTE REGIONAL MEDICAL CENTER,Charlotte,No,Investor-Owned,"809 E. Marion Ave. Punta Gorda, FL 33950-3819",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 8 , 4 , -   , -   , -   , -   , -   , -   , (60), -   ,26.9409922,-82.040058
153,101664,LAKE WALES MEDICAL CENTERS,Polk,No,Investor-Owned,"410 S. 11th St. Lake Wales, FL 33853-4203",Community Health Systems,Community Health Systems, -   , -   , -   , -   , -   , -   , -   , -   , 8 , 4 , -   , -   , -   , -   , -   , -   , (98), -   ,27.895852,-81.565518
154,120294,JUPITER MEDICAL CENTER,Palm Beach,No,Not-For-Profit,"1210 S. Old Dixie Hwy. Jupiter, FL 33458-7205",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 6 , 4 , -   , -   , -   , -   , -   , -   , 299 , -   ,26.9225859,-80.0964668
155,103543,DOCTORS HOSPITAL - CORAL GABLES,Miami-Dade,No,Not-For-Profit,"5000 University Dr. Coral Gables, FL 33146-2008",Baptist Health South Florida,Baptist Health South Florida, -   , -   , -   , -   , -   , -   , -   , -   , 7 , 4 , -   , -   , -   , -   , -   , -   , (206), -   ,25.7242943,-80.2742206
156,120014,SEBASTIAN RIVER MEDICAL CENTER,Indian River,Yes,Investor-Owned,"13695 US Hwy. 1 Sebastian, FL 32958-3230",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 7 , 4 , -   , -   , -   , -   , -   , -   , 14 , -   ,27.8436243,-80.4889146
157,120073,OAK HILL HOSPITAL,Hernando,No,Investor-Owned,"11375 Cortez Blvd. Brooksville, FL 34613-5409",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 7 , 4 , -   , -   , -   , -   , -   , -   , 36 , -   ,28.5366554,-82.5349898
158,102342,KINDRED HOSPITAL BAY AREA - TAMPA,Hillsborough,No,Investor-Owned,"4555 S. Manhattan Ave. Tampa, FL 33611-2305",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 7 , 4 , -   , -   , -   , -   , -   , -   , 53 , -   ,27.898031,-82.5190499
159,102679,KINDRED HOSPITAL - NORTH FLORIDA,Clay,No,Investor-Owned,"801 Oak St. Green Cove Springs, FL 32043-4317",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 7 , 4 , -   , -   , -   , -   , -   , -   , 59 , -   ,29.9883411,-81.682027
160,101257,TWIN CITIES HOSPITAL,Okaloosa,No,Investor-Owned,"2190 Hwy. 85, N. Niceville, FL 32578-1045",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 6 , 4 , -   , -   , -   , -   , -   , -   , 17 , -   ,30.5335439,-86.4955846
161,117463,FAWCETT MEMORIAL HOSPITAL,Charlotte,No,Investor-Owned,"21298 Olean Blvd. Port Charlotte, FL 33952-6705",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 6 , 4 , -   , -   , -   , -   , -   , -   , 47 , -   ,26.9888809,-82.0988521
162,103420,LAKEWOOD RANCH MEDICAL CENTER,Manatee,No,Investor-Owned,"8330 Lakewood Ranch Blvd. Bradenton, FL 34202-5174","Universal Health Services, Inc.","Universal Health Services, Inc.", -   , -   , -   , -   , -   , -   , -   , -   , 6 , 4 , -   , -   , -   , -   , -   , -   , 90 , -   ,27.390913,-82.435731
163,31588,VIERRA,null,No,null,"8745 N. Wickham Rd. Melbourne, FL 32940-5997",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 6 , 4 , -   , -   , -   , -   , -   , -   , 126 , -   ,28.228301,-80.7293673
165,102300,KINDRED HOSPITAL - CENTRAL TAMPA,Hillsborough,No,Investor-Owned,"4801 N. Howard Ave. Tampa, FL 33603-1411",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 5 , 4 , -   , -   , -   , -   , -   , -   , 36 , -   ,27.9894952,-82.4811847
166,101834,BERT FISH MEDICAL CENTER,Volusia,No,Not-For-Profit,"401 Palmetto St. New Smyrna Beach, FL 32168-7322",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 5 , 4 , -   , -   , -   , -   , -   , -   , 501 , -   ,29.0205633,-80.9219167
167,101702,WEST GABLES REHABILITATION HOSPITAL,Miami-Dade,No,Investor-Owned,"2525 S.W. 75th Ave. Miami, FL 33155-2800",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 5 , 4 , -   , -   , -   , -   , -   , -   , (22), -   ,25.7471447,-80.3170383
169,120111,PALMS OF PASADENA HOSPITAL,Pinellas,No,Investor-Owned,"1501 Pasadena Ave., S. St. Petersburg, FL 33707-3717",IASIS Healthcare,null, -   , -   , -   , -   , -   , -   , -   , -   , 5 , 4 , -   , -   , -   , -   , -   , -   ," 1,230 ", -   ,27.7527998,-82.739575
170,102326,BAPTIST MEDICAL CENTER - BEACHES,Duval,No,Not-For-Profit,"1350 13th Ave., S. Jacksonville Beach, FL 32250-3203",Baptist Health,Baptist Health, -   , -   , -   , -   , -   , -   , -   , -   , 5 , 4 , -   , -   , -   , -   , -   , -   , 49 , -   ,30.2732933,-81.3981499
171,102539,ENGLEWOOD COMMUNITY HOSPITAL,Sarasota,No,Investor-Owned,"700 Medical Blvd. Englewood, FL 34223-3964",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , 299 , -   ,26.9501075,-82.326556
172,103764,SELECT  SPECIALTY HOSPTAL  PALM BEACH,Palm Beach,No,Investor-Owned,"3060 Melaleuca Ln. Lake Worth, FL 33461-5174",Select Medical Corporation,Select Medical Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , (45), -   ,26.608873,-80.091561
174,103179,THE VILLAGES REGIONAL HOSPITAL,Sumter,No,Not-For-Profit,"1451 El Camino Real The Villages, FL 32159-0041",Central Florida Health Alliance,Central Florida Health Alliance, -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , 51 , -   ,28.950209,-81.9582652
175,119946,SOUTH BAY HOSPITAL,Hillsborough,No,Investor-Owned,"4016 Sun City Center Blvd. Sun City Center, FL 33573-5256",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , (160), -   ,27.7137058,-82.3653243
176,103535,KINDRED HOSPITAL - OCALA,Marion,No,Investor-Owned,"1500 S.W. 1st Ave. Ocala, FL 34471-6504",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , 6 , -   ,29.1753878,-82.138785
177,103772,SELECT SPECIALTY HOSPITAL,Alachua,No,Investor-Owned,"2708 S.W. Archer Rd. Gainesville, FL 32608-1316",Select Medical Corporation,Select Medical Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , (61), -   ,29.6321336,-82.3639017
178,102776,MIAMI JEWISH HOME & HOSPITAL,Miami-Dade,No,Not-For-Profit,"5200 N.E. 2nd Ave. Miami, FL 33137-2706",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 0 , 4 , -   , -   , -   , -   , -   , -   , 0 , -   ,25.8228678,-80.1924317
179,119954,DOCTORS HOSPITAL OF SARASOTA,Sarasota,No,Investor-Owned,"5731 Bee Ridge Rd. Sarasota, FL 34233-5056",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , 62 , -   ,27.3019374,-82.4530625
181,119733,VENICE REGIONAL MEDICAL CENTER,Sarasota,No,Investor-Owned,"540 The Rialto Venice, FL 34285-2900",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 38 , -   ,27.0905363,-82.4449121
182,101753,HEALTHSOUTH REHAB. HOSPITAL - LARGO,Pinellas,No,Investor-Owned,"901 N. Clearwater Largo Rd. Largo, FL 33770-4126",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 8 , -   ,27.925441,-82.797298
183,102709,HEALTHSOUTH REHAB HOSPITAL OF MIAMI,Miami-Dade,No,Investor-Owned,"20601 Old Cutler Rd. Cutler Bay, FL 33189-2441",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 11 , -   ,25.5747656,-80.3409182
184,102768,KINDRED HOSPITAL BAY AREA - ST. PETE,Pinellas,No,Investor-Owned,"3030 6th St., S. St. Petersburg, FL 33705-3720",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 35 , -   ,27.7406037,-82.6404714
185,101419,BOCA RATON COMMUNITY HOSPITAL,Palm Beach,No,Not-For-Profit,"800 Meadows Rd. Boca Raton, FL 33486-2304",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 19 , -   ,26.358767,-80.101737
186,103284,SISTER EMMANUEL HOSPITAL,Miami-Dade,No,Investor-Owned,"3663 S. Miami Ave. Miami, FL 33133-4253",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 48 , -   ,25.7421818,-80.2179487
187,103390,SELECT SPECIALTY HOSPITAL - ORLANDO,Orange,No,Investor-Owned,"2250 Bedford Rd. Orlando, FL 32803-1443",Select Medical Corporation,Select Medical Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 953 , -   ,28.572407,-81.37043
188,9496,FLORIDA HOSPIAL CONNERTON,Pasco,No,Not-For-Profit,"9441 Health Center Dr. Land O Lakes, FL 34637-5837",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , -   , -   , -   , -   , -   , 9 , -   ,28.2953987,-82.4899611
189,103748,SELEC SPECIALTY HOSPITAL TALLAHASSEE,Leon,Yes,Investor-Owned,"1554 Surgeons Dr. Tallahassee, FL 32308-4631",Select Medical Corporation,Select Medical Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , (52), -   ,30.461839,-84.2528001
191,103560,HEALTHSOUTH RIDGELAKE HOSPITAL,null,No,null,"6150 Edgelake Dr. Sarasota, FL 34240-8803",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 89 , -   ,27.301922,-82.4462696
192,103560,HEALTHSOUTH RIDGELAKE HOSPITAL,Sarasota,No,Investor-Owned,"6150 Edgelake Dr. Sarasota, FL 34240-8803",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 89 , -   ,27.301922,-82.4462696
193,4170,KINDRED PALM BEACH,Palm Beach,No,Investor-Owned,"5555 W. Blue Heron Blvd. Riviera Beach, FL 33418-7813",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 46 , -   ,26.7829485,-80.1103957
194,120332,HEALTHSOUTH REHAB HOSPITAL - TALLAHASSEE,Leon,Yes,Investor-Owned,"1675 Riggins Rd. Tallahassee, FL 32308-5315",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 15 , -   ,30.459486,-84.237021
195,102750,HEALTHSOUTH EMERALD COAST REHABILITATION HOSPITAL,Bay,No,Investor-Owned,"1847 Florida Ave. Panama City, FL 32405-4640",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 10 , -   ,30.1819477,-85.6695481
196,101915,KINDRED HOSPITAL - S FLORIDA - HOLLYWOOD,Broward,No,Investor-Owned,"1859 Van Buren St. Hollywood, FL 33020-5127",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 138 , -   ,26.0098825,-80.1442108
197,16815,KINDRED MELBOURNE,null,No,null,"765 W. Nasa Blvd. Melbourne, FL 32901-1815",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , (116), -   ,28.0928164,-80.6323617
198,103438,SELECT SPECIALTY HOSPITAL PANAMA CITY,Bay,No,Investor-Owned,"615 N. Bonita Ave. Panama City, FL 32401-3623",Select Medical Corporation,Select Medical Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 6 , -   ,30.1596644,-85.6486243
199,119938,KINDRED HOSPITAL - S. FLA - CORAL GABLES,Miami-Dade,No,Investor-Owned,"5190 S.W. 8th St. Coral Gables, FL 33134-2476",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 111 , -   ,25.7636747,-80.2788355
200,102202,CLEVELAND CLINIC FLORIDA WESTON,Broward,No,Investor-Owned,"3100 Weston Rd. Weston, FL 33331-3602",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 2 , -   ,26.081552,-80.364495
202,103683,SELECT SPECIALTY HOSPITAL GAINESVILLE,Escambia,Yes,Investor-Owned,"7000 Cobble Creek Dr. Pensacola, FL 32504-8638",Select Medical Corporation,Select Medical Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 14 , -   ,30.478632,-87.215252
203,120278,HEALTHSOUTH SUNRISE REHAB. HOSPITAL,Broward,No,Investor-Owned,"4399 Nob Hill Rd. Sunrise, FL 33351-5813",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , -   , -   , -   , -   , -   , 6 , -   ,26.1781312,-80.2850825
205,120341,HEALTHSOUTH REHAB. HOSPITAL TREAS COAST,Indian River,Yes,Investor-Owned,"1600 37th St. Vero Beach, FL 32960-4863",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , -   , -   , -   , -   , -   , -   , 33 , -   ,27.661332,-80.4002129
206,120383,HEALTHSOUTH REHAB. INSTITUTE - SARASOTA,Sarasota,No,Investor-Owned,"6400 Edgelake Dr. Sarasota, FL 34240-8813",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , -   , -   , -   , -   , -   , -   , 3 , -   ,27.3010085,-82.4425651
207,120421,HEALTHSOUTH SEA PINES REHABILITATION HOSPITAL,Brevard,Yes,Investor-Owned,"101 E. Florida Ave. Melbourne, FL 32901-8301",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , -   , -   , -   , -   , -   , -   , 6 , -   ,28.0554588,-80.6200076
209,100196,KINDRED HOSPITAL - SOUTH FLORIDA,Broward,No,Investor-Owned,"1516 E. Las Olas Blvd. Ft. Lauderdale, FL 33301-2346",Kindred South Region Office,Kindred South Region Office, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , -   , -   , -   , -   , -   , -   , (202), -   ,26.118855,-80.127715
210,103551,HEALTHSOUTH REHAB OF SPRING HILL,Hernando,No,Investor-Owned,"12440 Cortez Blvd. Brooksville, FL 34613-2628",HealthSouth Corporation,HealthSouth Corporation, -   , -   , -   , -   , -   , -   , -   , -   , 0 , 4 , -   , -   , -   , -   , -   , -   , 9 , -   ,28.5319064,-82.5171165
211,102407,ST. JOHNS REHABILITATION HOSPITAL,Broward,No,Not-For-Profit,"3487 N.W. 30th St. Lauderdale Lakes, FL 33311-1103",Catholic Health Services,Catholic Health Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , 106 , -   ,26.1634281,-80.1935446
212,102717,BROOKS HEALTH SYSTEM,Duval,No,Not-For-Profit,"3599 University Blvd., S. Jacksonville, FL 32216-4245",Brooks Health System,Brooks Health System, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , 49 , -   ,30.289909,-81.601603
213,103373,SELECT SPECIALTY HOSPITAL MIAMI,Miami-Dade,No,Investor-Owned,"955 N.W. 3rd St. Miami, FL 33128-1274",Select Medical Corporation,Select Medical Corporation, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   ,25.777005,-80.2108496
214,106470,SELECT SPECIALTY HOSPITAL -MEMORIAL HEALTH JACKSONVILLE,Duval,No,Investor-Owned,"4901 Richard St. Jacksonville, FL 32207-7328",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , (2), -   ,30.271677,-81.61555
215,120022,ST. CATHERINES REHABILITATION HOSPITAL,Miami-Dade,No,Not-For-Profit,"1050 N.E. 125th St. North Miami, FL 33161-5805",Catholic Health Services,Catholic Health Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , 26 , -   ,25.889931,-80.1771537
232,101940,CAMPBELLTON-GRACEVILLE HOSPITAL,null,No,null,null,null,null, null , null ," 11,103 "," 33,552 "," (11,103)"," (33,552)"," (44,655)", -   , null , null , null , null , null , null , null ,null, null ,null,null,null
68,101044,INDIAN RIVER MEDICAL CENTER,Indian River,Yes,Not-For-Profit,"1000 36th St. Vero Beach, FL 32960-4862",null,null, -   , -   ," 2,902,383 "," 869,622 "," (2,902,383)"," (869,622)"," (3,772,005)", -   , 13 , 4 , -   , -   , -   , -   , -   , -   ," 1,657 ", -   ,27.6585296,-80.3943307
